ORDER,GEO,ST,STNAME,COUNTY/METRO,Total Households (2019-2023),Renter Households (2019-2023),% of total households that are renters  (2019-2023),Minimum Wage,Estimated Mean Renter Wage ,SSI Monthly Payment,Zero bedroom FMR,One bedroom FMR,Two bedroom FMR,Three bedroom FMR,Four bedroom FMR,Annual AMI,30% of AMI,50% of AMI,Estimated Median Renter Household Income,Rent affordable at 30% AMI,Rent affordable at 50% AMI,Rent affordable at median renter household income ,Rent affordable with full-time job paying minimum wage ,Rent affordable with full-time job paying mean renter wage,Rent affordable to SSI recipient,Income needed to afford 0 bdrm FMR,Income needed to afford 1 bdrm FMR,Income needed to afford 2 bdrm FMR,Income needed to afford 3 bdrm FMR,Income needed to afford 4 bdrm FMR,Housing Wage for 0 bdrm FMR,Housing Wage for 1 bdrm FMR,Housing Wage for 2 bdrm FMR,Housing Wage for 3 bdrm FMR,Housing Wage for 4 bdrm FMR,Work hours per week at min. wage needed to afford 0 bdrm FMR,Work hours per week at min. wage needed to afford 1 bdrm FMR,Work hours per week at min. wage needed to afford 2 bdrm FMR,Work hours per week at min. wage needed to afford 3 bdrm FMR,Work hours per week at min. wage needed to afford 4 bdrm FMR,# of jobs at minimum wage needed to afford a 0 bdrm FMR,# of jobs at minimum wage needed to afford a 1 bdrm FMR,# of jobs at minimum wage needed to afford a 2 bdrm FMR,# of jobs at minimum wage needed to afford a 3 bdrm FMR,# of jobs at minimum wage needed to afford a 4 bdrm FMR,Work hours per week at mean renter wage needed to afford 0 bdrm FMR,Work hours per week at mean renter wage needed to afford 1 bdrm FMR,Work hours per week at mean renter wage needed to afford 2 bdrm FMR,Work hours per week at mean renter wage needed to afford 3 bdrm FMR,Work hours per week at mean renter wage needed to afford 4 bdrm FMR
3,METRO,CA,California,San Jose-Sunnyvale-Santa Clara HMFA,"654,467","292,557",45%,$16.50,$68.39,"$1,207","$2,608","$2,975","$3,446","$4,477","$4,878","$195,200","$58,560","$97,600","$125,296","$1,464","$2,440","$3,132",$858,"$3,556",$362,"$104,320","$119,000","$137,840","$179,080","$195,120",$50.15,$57.21,$66.27,$86.10,$93.81,122,139,161,209,227,3.0,3.5,4.0,5.2,5.7,29,33,39,50,55
3,METRO,CA,California,San Luis Obispo-Paso Robles-Arroyo Grande MSA,"108,897","41,494",38%,$16.50,$19.58,"$1,207","$1,669","$1,855","$2,434","$3,250","$3,683","$120,900","$36,270","$60,450","$66,916",$907,"$1,511","$1,673",$858,"$1,018",$362,"$66,760","$74,200","$97,360","$130,000","$147,320",$32.10,$35.67,$46.81,$62.50,$70.83,78,86,113,152,172,1.9,2.2,2.8,3.8,4.3,66,73,96,128,145
3,METRO,CA,California,Santa Ana-Anaheim-Irvine HMFA,"1,074,654","468,049",44%,$16.50,$28.33,"$1,207","$2,352","$2,454","$2,903","$3,927","$4,693","$136,600","$40,980","$68,300","$86,933","$1,025","$1,708","$2,173",$858,"$1,473",$362,"$94,080","$98,160","$116,120","$157,080","$187,720",$45.23,$47.19,$55.83,$75.52,$90.25,110,114,135,183,219,2.7,2.9,3.4,4.6,5.5,64,67,79,107,127
3,METRO,CA,California,Santa Cruz-Watsonville MSA,"96,873","38,771",40%,$16.50,$22.13,"$1,207","$3,056","$3,221","$4,223","$5,256","$5,605","$132,800","$39,840","$66,400","$81,002",$996,"$1,660","$2,025",$858,"$1,151",$362,"$122,240","$128,840","$168,920","$210,240","$224,200",$58.77,$61.94,$81.21,$101.08,$107.79,142,150,197,245,261,3.6,3.8,4.9,6.1,6.5,106,112,147,183,195
3,METRO,CA,California,Santa Maria-Santa Barbara MSA,"148,960","70,206",47%,$16.50,$23.23,"$1,207","$2,381","$2,688","$3,028","$4,011","$4,468","$113,300","$33,990","$56,650","$73,235",$850,"$1,416","$1,831",$858,"$1,208",$362,"$95,240","$107,520","$121,120","$160,440","$178,720",$45.79,$51.69,$58.23,$77.13,$85.92,111,125,141,187,208,2.8,3.1,3.5,4.7,5.2,79,89,100,133,148
3,METRO,CA,California,Santa Rosa MSA,"190,498","72,009",38%,$16.50,$25.47,"$1,207","$1,879","$2,089","$2,740","$3,743","$3,960","$132,000","$39,600","$66,000","$78,949",$990,"$1,650","$1,974",$858,"$1,324",$362,"$75,160","$83,560","$109,600","$149,720","$158,400",$36.13,$40.17,$52.69,$71.98,$76.15,88,97,128,174,185,2.2,2.4,3.2,4.4,4.6,57,63,83,113,120
3,METRO,CA,California,Stockton-Lodi MSA,"241,373","92,851",38%,$16.50,$19.97,"$1,207","$1,248","$1,363","$1,736","$2,433","$2,915","$104,600","$31,380","$52,300","$64,524",$785,"$1,308","$1,613",$858,"$1,038",$362,"$49,920","$54,520","$69,440","$97,320","$116,600",$24.00,$26.21,$33.38,$46.79,$56.06,58,64,81,113,136,1.5,1.6,2.0,2.8,3.4,48,53,67,94,112
3,METRO,CA,California,Vallejo-Fairfield MSA,"155,800","57,290",37%,$16.50,$23.80,"$1,207","$1,724","$1,894","$2,420","$3,234","$3,663","$124,600","$37,380","$62,300","$74,841",$935,"$1,558","$1,871",$858,"$1,238",$362,"$68,960","$75,760","$96,800","$129,360","$146,520",$33.15,$36.42,$46.54,$62.19,$70.44,80,88,113,151,171,2.0,2.2,2.8,3.8,4.3,56,61,78,105,118
3,METRO,CA,California,Visalia-Porterville MSA,"142,026","58,773",41%,$16.50,$16.46,"$1,207","$1,082","$1,089","$1,429","$1,967","$2,272","$82,100","$24,630","$41,050","$51,055",$616,"$1,026","$1,276",$858,$856,$362,"$43,280","$43,560","$57,160","$78,680","$90,880",$20.81,$20.94,$27.48,$37.83,$43.69,50,51,67,92,106,1.3,1.3,1.7,2.3,2.6,51,51,67,92,106
3,METRO,CA,California,Yolo HMFA,"76,640","35,594",46%,$16.50,$19.88,"$1,207","$1,602","$1,613","$2,116","$2,944","$3,299","$135,900","$40,770","$67,950","$58,325","$1,019","$1,699","$1,458",$858,"$1,034",$362,"$64,080","$64,520","$84,640","$117,760","$131,960",$30.81,$31.02,$40.69,$56.62,$63.44,75,75,99,137,154,1.9,1.9,2.5,3.4,3.8,62,62,82,114,128
